Topic;Word;Score;;
Volkswirtschaft;konjunkturpolit;2.043.062;;
Volkswirtschaft;erbschaftsteu;2.040.062;;
Volkswirtschaft;mehrausgab;2.016.062;;
Volkswirtschaft;steuerausfall;1.979.892;;
Volkswirtschaft;freibetrag;1.939.113;;
Volkswirtschaft;arbeitsvermittl;1.939.062;;
Volkswirtschaft;zentralbank;1.905.062;;
Volkswirtschaft;osterweiter;1.844.062;;
Volkswirtschaft;steuerschatz;1.832.057;;
Volkswirtschaft;steuervergunst;1.831.062;;
Volkswirtschaft;bemessungsgrundlag;1.820.400;;
Volkswirtschaft;wirtschaftsstruktur;1.808.062;;
Volkswirtschaft;minderausgab;1.807.256;;
Volkswirtschaft;finanzverwalt;1.780.062;;
Volkswirtschaft;bundesarbeitsminist;1.735.890;;
Volkswirtschaft;haushaltsansatz;1.724.787;;
Volkswirtschaft;staatsfinanz;1.709.206;;
Volkswirtschaft;lohnsteu;1.621.029;;
Volkswirtschaft;staatsverschuld;1.616.414;;
Volkswirtschaft;steuerbelast;1.608.062;;
Volkswirtschaft;steuersyst;1.597.295;;
Volkswirtschaft;investitionszulag;1.588.062;;
Volkswirtschaft;subventionsabbau;1.585.062;;
Volkswirtschaft;progression;1.579.062;;
Volkswirtschaft;unternehmensteuerreform;1.550.062;;
Volkswirtschaft;billion;1.542.298;;
Volkswirtschaft;jobcent;1.508.062;;
Volkswirtschaft;preisstabilitat;1.501.855;;
Volkswirtschaft;gewerbekapitalsteu;1.467.062;;
Volkswirtschaft;steuergesetz;1.447.388;;
Volkswirtschaft;stabilitatspakt;1.386.870;;
Volkswirtschaft;kapitalgesellschaft;1.383.426;;
Volkswirtschaft;wirtschaftsforder;1.381.062;;
Volkswirtschaft;gewerbesteu;1.365.585;;
Volkswirtschaft;kreditaufnahm;1.328.454;;
Volkswirtschaft;verbrauchsteu;1.292.062;;
Volkswirtschaft;umschul;1.280.487;;
Volkswirtschaft;ausgabenseit;1.252.293;;
Volkswirtschaft;stabilitatspolit;1.229.634;;
Volkswirtschaft;anleih;1.229.455;;
Volkswirtschaft;steueraufkomm;1.226.515;;
Volkswirtschaft;kaffe;1.225.062;;
Volkswirtschaft;steuerfrag;1.215.062;;
Volkswirtschaft;jahressteuergesetz;1.212.062;;
Volkswirtschaft;steuermehreinnahm;1.165.116;;
Volkswirtschaft;gegenfinanzier;1.158.062;;
Volkswirtschaft;erganzungsabgab;1.143.062;;
Volkswirtschaft;grundfreibetrag;1.103.517;;
Volkswirtschaft;altschuld;1.095.089;;
Volkswirtschaft;arbeitsverwalt;1.074.062;;
Volkswirtschaft;stabilitatsgesetz;1.061.062;;
Volkswirtschaft;liquiditat;1.059.662;;
Volkswirtschaft;binnennachfrag;1.056.266;;
Volkswirtschaft;sparpaket;1.049.062;;
Volkswirtschaft;haushaltsrecht;1.037.400;;
Volkswirtschaft;konvent;1.033.062;;
Bürger:innenrechte;menschenrecht;231.999.215;;
Bürger:innenrechte;fluchtling;190.140.650;;
Bürger:innenrechte;polizei;107.839.252;;
Bürger:innenrechte;arzt;80.408.229;;
Bürger:innenrechte;behinder;71.250.650;;
Bürger:innenrechte;petition;69.246.629;;
Bürger:innenrechte;datenschutz;62.440.650;;
Bürger:innenrechte;staatsangehor;54.940.650;;
Bürger:innenrechte;demonstration;53.360.650;;
Bürger:innenrechte;petitionsausschuss;50.664.572;;
Bürger:innenrechte;weiterbild;45.904.861;;
Bürger:innenrechte;diktatur;43.400.650;;
Bürger:innenrechte;behind;43.100.650;;
Bürger:innenrechte;asylbewerb;39.210.650;;
Bürger:innenrechte;zuwander;37.880.650;;
Bürger:innenrechte;gerichtshof;36.870.650;;
Bürger:innenrechte;menschenrechtsverletz;35.787.174;;
Bürger:innenrechte;sozialismus;32.430.650;;
Bürger:innenrechte;gewalttat;31.029.420;;
Bürger:innenrechte;aussiedl;29.600.650;;
Bürger:innenrechte;kommunist;29.550.759;;
Bürger:innenrechte;jud;29.470.650;;
Bürger:innenrechte;rechtsextremismus;29.360.650;;
Bürger:innenrechte;polizist;28.387.712;;
Bürger:innenrechte;asyl;27.290.650;;
Bürger:innenrechte;asylrecht;27.010.650;;
Bürger:innenrechte;todesstraf;26.140.183;;
Bürger:innenrechte;eingab;25.360.634;;
Bürger:innenrechte;migration;25.210.650;;
Bürger:innenrechte;religion;24.800.650;;
Bürger:innenrechte;polizeibeamt;23.862.910;;
Bürger:innenrechte;schwangerschaftsabbruch;23.600.650;;
Bürger:innenrechte;migrant;23.070.650;;
Bürger:innenrechte;petent;21.520.650;;
Bürger:innenrechte;abschieb;19.940.650;;
Bürger:innenrechte;pass;19.250.650;;
Bürger:innenrechte;schwerbehindert;18.300.650;;
Bürger:innenrechte;antisemitismus;18.120.650;;
Bürger:innenrechte;staatsburgerschaft;18.090.650;;
Bürger:innenrechte;schwangerschaft;18.030.398;;
Bürger:innenrechte;gedenk;17.700.650;;
Bürger:innenrechte;rassismus;17.662.235;;
Bürger:innenrechte;asylverfahr;17.010.650;;
Bürger:innenrechte;elterngeld;16.613.889;;
Bürger:innenrechte;teilzeit;16.350.650;;
Bürger:innenrechte;ruckfuhr;16.261.141;;
Bürger:innenrechte;burgerinitiativ;15.990.650;;
Bürger:innenrechte;extremismus;15.970.650;;
Bürger:innenrechte;demonstrant;15.630.650;;
Bürger:innenrechte;kurd;15.584.579;;
Bürger:innenrechte;teilzeitarbeit;15.240.224;;
Bürger:innenrechte;abbruch;15.082.372;;
Bürger:innenrechte;werkstatt;15.050.650;;
Bürger:innenrechte;menschenrechtspolit;15.000.650;;
Bürger:innenrechte;einreis;14.552.348;;
Bürger:innenrechte;religionsfrei;14.370.650;;
Bürger:innenrechte;herkunftsland;14.217.190;;
Bürger:innenrechte;einburger;13.690.650;;
Bürger:innenrechte;abtreib;13.630.650;;
Bürger:innenrechte;sozialist;13.491.784;;
Bürger:innenrechte;islam;13.470.650;;
Bürger:innenrechte;brud;13.262.850;;
Bürger:innenrechte;muslim;13.110.650;;
Bürger:innenrechte;vorratsdatenspeicher;12.870.650;;
Bürger:innenrechte;zuwand;12.870.650;;
Bürger:innenrechte;kommunismus;12.715.617;;
Bürger:innenrechte;denkmal;12.670.650;;
Bürger:innenrechte;nazis;12.410.650;;
Bürger:innenrechte;gedenkstatt;12.070.650;;
Bürger:innenrechte;datenschutzbeauftragt;11.880.650;;
Bürger:innenrechte;brexit;11.870.650;;
Bürger:innenrechte;indikation;11.530.650;;
Bürger:innenrechte;kontingent;11.448.638;;
Bürger:innenrechte;einwander;11.190.650;;
Bürger:innenrechte;fluchtursach;11.172.362;;
Bürger:innenrechte;lebenspartnerschaft;10.950.650;;
Bürger:innenrechte;schwang;10.750.650;;
Bürger:innenrechte;personalausweis;10.680.650;;
Bürger:innenrechte;datei;10.670.650;;
Bürger:innenrechte;asylantrag;10.580.650;;
Bürger:innenrechte;eingliederungshilf;10.518.549;;
Bürger:innenrechte;staatsangehorigkeitsrecht;10.450.650;;
Bürger:innenrechte;barrierefrei;10.320.824;;
Bürger:innenrechte;turk;10.290.650;;
Bürger:innenrechte;schwest;10.121.466;;
Bürger:innenrechte;fuhrungsposition;10.110.650;;
Bürger:innenrechte;einstuf;10.052.334;;
Bürger:innenrechte;auslandergesetz;9.920.650;;
Bürger:innenrechte;aufenthaltsrecht;9.760.650;;
Bürger:innenrechte;asylbewerberleistungsgesetz;9.724.155;;
Bürger:innenrechte;einmisch;9.610.646;;
Bürger:innenrechte;auslanderrecht;9.600.650;;
Bürger:innenrechte;ubersiedl;9.580.650;;
Bürger:innenrechte;hetz;9.354.897;;
Bürger:innenrechte;sicherheitsbehord;9.303.429;;
Bürger:innenrechte;migrantinn;9.260.650;;
Bürger:innenrechte;petitionsrecht;9.140.650;;
Bürger:innenrechte;menschenrechtskonvention;9.133.138;;
Bürger:innenrechte;fachkraftemangel;9.090.543;;
Bürger:innenrechte;beschneid;8.880.650;;
Gesundheitswesen;krankenversicher;140.790.200;;
Gesundheitswesen;patient;103.650.200;;
Gesundheitswesen;krankenhaus;103.290.200;;
Gesundheitswesen;krankenkass;94.040.200;;
Gesundheitswesen;arzt;81.662.621;;
Gesundheitswesen;gesundheitswes;75.415.482;;
Gesundheitswesen;versich;69.459.535;;
Gesundheitswesen;gesundheitspolit;33.120.200;;
Gesundheitswesen;arzneimittel;32.370.200;;
Gesundheitswesen;medikament;31.850.350;;
Gesundheitswesen;apothek;28.810.200;;
Gesundheitswesen;spend;25.720.200;;
Gesundheitswesen;gesundheitsreform;23.330.200;;
Gesundheitswesen;heim;21.391.515;;
Gesundheitswesen;patientinn;21.320.200;;
Gesundheitswesen;gesundheitssyst;18.740.200;;
Gesundheitswesen;zuzahl;16.825.493;;
Gesundheitswesen;arzneimitteln;16.390.200;;
Gesundheitswesen;roma;15.770.200;;
Gesundheitswesen;beitragssatz;14.868.169;;
Gesundheitswesen;selbststand;14.318.089;;
Gesundheitswesen;selbstverwalt;14.154.204;;
Gesundheitswesen;bundesgesundheitsamt;13.452.264;;
Gesundheitswesen;interpellation;13.252.202;;
Gesundheitswesen;organsp;12.830.200;;
Gesundheitswesen;pandemi;12.710.200;;
Gesundheitswesen;selbstbeteil;12.260.200;;
Gesundheitswesen;klinik;11.549.189;;
Gesundheitswesen;pharmaindustri;11.510.200;;
Gesundheitswesen;kulturgut;11.194.913;;
Gesundheitswesen;solidargemeinschaft;10.975.971;;
Gesundheitswesen;arzneimittelgesetz;10.571.065;;
Gesundheitswesen;gesundheitsausschuss;10.326.693;;
Gesundheitswesen;gesundheitsversorg;10.187.139;;
Gesundheitswesen;leistungserbring;9.474.076;;
Gesundheitswesen;sinti;9.410.200;;
Gesundheitswesen;zuruckweis;8.993.063;;
Gesundheitswesen;budgetier;8.806.054;;
Gesundheitswesen;zahnarzt;8.690.200;;
Gesundheitswesen;therapi;8.246.838;;
Gesundheitswesen;nebenwirk;8.160.200;;
Gesundheitswesen;kreb;8.071.435;;
Gesundheitswesen;zahnersatz;7.949.593;;
Gesundheitswesen;coronakris;7.410.200;;
Gesundheitswesen;gesundheitsminist;7.276.116;;
Gesundheitswesen;kostenerstatt;7.262.659;;
Gesundheitswesen;virus;7.241.960;;
Gesundheitswesen;positivlist;7.130.200;;
Gesundheitswesen;gesundheitssystem;6.992.289;;
Gesundheitswesen;gesundheitsforder;6.700.200;;
Gesundheitswesen;hausarzt;6.596.086;;
Gesundheitswesen;gesundheitsbereich;6.577.853;;
Gesundheitswesen;beitragszahl;6.482.747;;
Gesundheitswesen;risikostrukturausgleich;6.190.200;;
Gesundheitswesen;arztinn;6.188.464;;
Gesundheitswesen;festbetrag;6.006.194;;
Gesundheitswesen;ortskrankenkass;5.910.200;;
Gesundheitswesen;praparat;5.880.200;;
Gesundheitswesen;kostendampf;5.860.200;;
Gesundheitswesen;datenverarbeit;5.572.496;;
Gesundheitswesen;arzteschaft;5.234.011;;
Gesundheitswesen;krankenhausbereich;5.110.200;;
Gesundheitswesen;pflegesatz;4.868.735;;
Gesundheitswesen;heimgesetz;4.840.200;;
Gesundheitswesen;facharzt;4.761.227;;
Gesundheitswesen;taschengeld;4.737.182;;
Gesundheitswesen;vorsorgeuntersuch;4.690.200;;
Gesundheitswesen;impfstoff;4.685.973;;
Gesundheitswesen;gesundheitsvorsorg;4.650.200;;
Gesundheitswesen;bundesausschuss;4.615.963;;
Gesundheitswesen;leistungskatalog;4.552.060;;
Gesundheitswesen;beitragserhoh;4.523.609;;
Gesundheitswesen;wohlfahrtspfleg;4.471.966;;
Gesundheitswesen;coronapandemi;4.460.200;;
Gesundheitswesen;fruherkenn;4.460.200;;
Gesundheitswesen;arzneimittelversorg;4.350.200;;
Gesundheitswesen;ersatzkass;4.317.137;;
Gesundheitswesen;arzneimittelsich;4.160.200;;
Gesundheitswesen;praventionsgesetz;4.160.200;;
Gesundheitswesen;berufsverband;4.071.812;;
Gesundheitswesen;widerspruchslos;4.060.200;;
Gesundheitswesen;krankenhausfinanzierungsgesetz;4.030.258;;
Gesundheitswesen;gesundheitsministerin;4.020.200;;
Gesundheitswesen;beratungszeit;3.950.200;;
Gesundheitswesen;fallpauschal;3.920.200;;
Gesundheitswesen;altenheim;3.870.200;;
Gesundheitswesen;krankenhausfinanzier;3.667.001;;
Gesundheitswesen;wirkstoff;3.544.519;;
Gesundheitswesen;bundesgesundheitsminist;3.540.617;;
Gesundheitswesen;prax;3.470.200;;
Gesundheitswesen;versicherungsschutz;3.430.193;;
Gesundheitswesen;kassenarzt;3.360.200;;
Gesundheitswesen;dekad;3.318.734;;
Gesundheitswesen;heimbewohn;3.300.200;;
Gesundheitswesen;juristenausbild;3.300.200;;
Gesundheitswesen;versandhandel;3.300.200;;
Gesundheitswesen;eigenbeteil;3.239.869;;
Gesundheitswesen;arzneimittelrecht;3.190.200;;
Gesundheitswesen;krankenkassenbeitrag;3.181.156;;
Gesundheitswesen;diagnos;3.143.896;;
Landwirtschaft;landwirt;114.540.175;;
Landwirtschaft;agrarpolit;85.790.175;;
Landwirtschaft;tier;66.340.175;;
Landwirtschaft;wald;64.320.175;;
Landwirtschaft;lebensmittel;37.640.175;;
Landwirtschaft;milch;34.120.175;;
Landwirtschaft;tierschutz;30.350.175;;
Landwirtschaft;hektar;24.270.175;;
Landwirtschaft;getreid;21.550.175;;
Landwirtschaft;lebensmitteln;20.323.699;;
Landwirtschaft;kennzeichn;19.980.175;;
Landwirtschaft;rechnungshof;18.550.175;;
Landwirtschaft;ha;17.794.971;;
Landwirtschaft;agrarbericht;16.670.175;;
Landwirtschaft;bauernverband;16.400.175;;
Landwirtschaft;forstwirtschaft;15.800.175;;
Landwirtschaft;wirtschaftsjahr;15.771.283;;
Landwirtschaft;einfahr;15.006.178;;
Landwirtschaft;tierhalt;14.640.175;;
Landwirtschaft;hof;14.120.787;;
Landwirtschaft;familienbetrieb;13.866.019;;
Landwirtschaft;agrarstruktur;13.803.395;;
Landwirtschaft;marktordn;13.128.696;;
Landwirtschaft;tierversuch;12.910.175;;
Landwirtschaft;kuh;12.692.170;;
Landwirtschaft;zuck;12.310.175;;
Landwirtschaft;altershilf;11.970.175;;
Landwirtschaft;nahrungsmittel;11.861.592;;
Landwirtschaft;landwirtschaftsminist;11.711.381;;
Landwirtschaft;ernahrungsausschuss;11.620.175;;
Landwirtschaft;bauerinn;11.530.175;;
Landwirtschaft;ernt;11.257.992;;
Landwirtschaft;alterssicher;9.888.120;;
Landwirtschaft;has;9.410.175;;
Landwirtschaft;tierschutzgesetz;9.000.175;;
Landwirtschaft;agrarmarkt;8.993.615;;
Landwirtschaft;kustenschutz;8.764.335;;
Landwirtschaft;landwirtschaftsgesetz;8.406.724;;
Landwirtschaft;antibiotika;7.510.175;;
Landwirtschaft;preispolit;7.401.278;;
Landwirtschaft;kiechl;7.336.009;;
Landwirtschaft;vorratsstell;7.260.175;;
Landwirtschaft;weiz;6.813.718;;
Landwirtschaft;flurberein;6.617.882;;
Landwirtschaft;stall;6.530.175;;
Landwirtschaft;disparitat;6.072.439;;
Landwirtschaft;ack;6.033.474;;
Landwirtschaft;ernahrungswirtschaft;6.002.490;;
Landwirtschaft;agrarreform;5.970.175;;
Landwirtschaft;alterskass;5.820.175;;
Landwirtschaft;agrar;5.818.851;;
Landwirtschaft;landwirtschaftspolit;5.793.602;;
Landwirtschaft;biodiversitat;5.719.433;;
Landwirtschaft;grenzausgleich;5.637.564;;
Landwirtschaft;altersgeld;5.440.175;;
Landwirtschaft;agrarhaushalt;5.385.454;;
Landwirtschaft;agrarwirtschaft;5.354.204;;
Landwirtschaft;medizinprodukt;5.323.535;;
Landwirtschaft;molkerei;5.319.563;;
Landwirtschaft;futtermittel;5.245.500;;
Landwirtschaft;artenvielfalt;5.157.621;;
Landwirtschaft;untersuchungsergebnis;4.998.375;;
Landwirtschaft;landbau;4.957.382;;
Landwirtschaft;waldbesitz;4.950.175;;
Landwirtschaft;parlamentsreform;4.863.899;;
Landwirtschaft;agrarbereich;4.819.238;;
Landwirtschaft;erzeugnis;4.761.802;;
Landwirtschaft;kennzeichnungspflicht;4.670.175;;
Landwirtschaft;kulturlandschaft;4.556.820;;
Landwirtschaft;massentierhalt;4.540.175;;
Landwirtschaft;milcherzeug;4.530.175;;
Landwirtschaft;jagd;4.498.742;;
Landwirtschaft;vollerwerbsbetrieb;4.470.175;;
Landwirtschaft;agrarsozialpolit;4.470.175;;
Landwirtschaft;milchpreis;4.416.411;;
Landwirtschaft;agrarpreis;4.387.722;;
Landwirtschaft;flachenstilleg;4.380.175;;
Landwirtschaft;fett;4.260.175;;
Landwirtschaft;uberproduktion;4.252.983;;
Landwirtschaft;direktzahl;4.222.630;;
Landwirtschaft;betriebsgross;4.177.147;;
Landwirtschaft;futtermitteln;4.110.175;;
Landwirtschaft;erzeugerpreis;4.068.489;;
Landwirtschaft;einkommenssituation;3.997.053;;
Landwirtschaft;milchwirtschaft;3.940.175;;
Landwirtschaft;lebensmittelrecht;3.880.175;;
Landwirtschaft;ausgleichszahl;3.873.799;;
Landwirtschaft;vorsteuerpauschal;3.815.090;;
Landwirtschaft;labor;3.800.651;;
Landwirtschaft;einkommensentwickl;3.783.974;;
Landwirtschaft;erganzungsgesetz;3.783.615;;
Landwirtschaft;nahrungsmitteln;3.766.753;;
Landwirtschaft;agrarprodukt;3.731.900;;
Landwirtschaft;okolandbau;3.719.502;;
Landwirtschaft;nebenerwerbsbetrieb;3.710.175;;
Landwirtschaft;rogg;3.650.175;;
Landwirtschaft;nutzflach;3.623.053;;
Landwirtschaft;interventionspreis;3.621.778;;
Landwirtschaft;zinsverbill;3.498.307;;
Landwirtschaft;raubbau;3.477.160;;
Arbeit;mindestlohn;92.920.325;;
Arbeit;mitbestimm;70.680.325;;
Arbeit;arbeitnehmerinn;61.008.332;;
Arbeit;betriebsrat;54.580.325;;
Arbeit;tarifvertrag;50.390.325;;
Arbeit;arbeitszeit;50.268.154;;
Arbeit;tarifpartn;29.416.992;;
Arbeit;ig;29.106.858;;
Arbeit;schwarzarbeit;28.660.325;;
Arbeit;beschaftigungsverhaltnis;27.850.325;;
Arbeit;kinderbetreu;27.770.325;;
Arbeit;kundigungsschutz;26.710.325;;
Arbeit;tarifautonomi;25.400.325;;
Arbeit;metall;23.875.183;;
Arbeit;leiharbeit;23.070.325;;
Arbeit;kurzarbeit;22.190.325;;
Arbeit;betriebsverfassungsgesetz;20.590.325;;
Arbeit;betreuungsgeld;20.420.325;;
Arbeit;gewerkschaftsbund;18.706.589;;
Arbeit;uberstund;18.660.325;;
Arbeit;fusion;18.540.325;;
Arbeit;belegschaft;18.439.493;;
Arbeit;arbeitszeitverkurz;18.330.325;;
Arbeit;lohnfortzahl;18.150.325;;
Arbeit;streik;17.020.325;;
Arbeit;sozialversicherungsbeitrag;16.871.462;;
Arbeit;mitbestimmungsrecht;15.970.325;;
Arbeit;zeitarbeit;15.420.325;;
Arbeit;arbeitsvertrag;15.190.325;;
Arbeit;tarifvertragspartei;15.150.325;;
Arbeit;wahlfreiheit;14.650.950;;
Arbeit;sozialpartn;14.613.509;;
Arbeit;arbeitgeberverband;14.293.061;;
Arbeit;krankheitsfall;12.860.325;;
Arbeit;arbeitsbeschaffungsmassnahm;12.859.313;;
Arbeit;kita;11.940.325;;
Arbeit;kurzarbeitergeld;11.450.325;;
Arbeit;elterngeld;11.447.086;;
Arbeit;tarifpartei;11.420.325;;
Arbeit;sozialabgab;10.696.147;;
Arbeit;bundeskartellamt;10.604.192;;
Arbeit;montan;10.370.404;;
Arbeit;arbeitnehmerschaft;10.325.032;;
Arbeit;entsendegesetz;10.281.411;;
Arbeit;kitas;10.190.325;;
Arbeit;tarifverhandl;10.188.036;;
Arbeit;personalrat;9.860.325;;
Arbeit;munition;9.098.686;;
Arbeit;arbeitskampf;9.000.325;;
Arbeit;minijob;8.710.325;;
Arbeit;konkur;8.631.753;;
Arbeit;niedriglohnsektor;8.500.325;;
Arbeit;sozialkass;8.200.325;;
Arbeit;kartellamt;8.010.325;;
Arbeit;sozialplan;7.989.708;;
Arbeit;kleinbetrieb;7.803.978;;
Arbeit;lohndumping;7.600.678;;
Arbeit;kindertagesstatt;7.580.325;;
Arbeit;wettbewerbsrecht;7.560.325;;
Arbeit;sozialausschuss;7.084.379;;
Arbeit;kundigungsfrist;7.030.325;;
Arbeit;kapitalismus;7.015.495;;
Arbeit;kindergartenplatz;6.958.998;;
Arbeit;tarifpolit;6.565.254;;
Arbeit;arbeiterschaft;6.502.321;;
Arbeit;arbeitnehmerrecht;6.450.325;;
Arbeit;verfassungsvertrag;6.430.325;;
Arbeit;verleih;6.396.927;;
Arbeit;tarifabschluss;6.349.402;;
Arbeit;tarifbind;6.300.270;;
Arbeit;airbus;6.270.325;;
Arbeit;informationspolit;6.150.325;;
Arbeit;ordnungspolit;6.097.350;;
Arbeit;arbeitnehmervertret;6.040.930;;
Arbeit;streikrecht;5.967.985;;
Arbeit;kartellrecht;5.830.325;;
Arbeit;neueinstell;5.490.325;;
Arbeit;altersteilzeit;5.460.689;;
Arbeit;systemwechsel;5.321.330;;
Arbeit;betreuungsplatz;5.200.325;;
Arbeit;arbeitszeitgesetz;5.199.999;;
Arbeit;nanotechnologi;5.190.325;;
Arbeit;fusionskontroll;5.180.325;;
Arbeit;familienpolit;5.158.376;;
Arbeit;marktmacht;5.120.590;;
Arbeit;aussperr;5.050.325;;
Arbeit;privathaushalt;5.002.845;;
Arbeit;tariflohn;4.996.131;;
Arbeit;humanisier;4.949.391;;
Arbeit;stundenlohn;4.909.092;;
Arbeit;monopolkommission;4.890.325;;
Arbeit;kitaplatz;4.870.325;;
Arbeit;familienministerin;4.857.332;;
Arbeit;betriebsverfass;4.530.325;;
Arbeit;personalvertret;4.370.325;;
Arbeit;niedriglohn;4.340.325;;
Arbeit;alleinerzieh;4.322.067;;
Arbeit;arbeitsstund;4.280.429;;
Arbeit;osterreich;4.220.325;;
Arbeit;erzieh;4.215.502;;
Bildung;hochschul;156.340.275;;
Bildung;bafog;95.490.275;;
Bildung;ausbildungsplatz;80.120.275;;
Bildung;studier;53.570.275;;
Bildung;film;51.310.275;;
Bildung;bildungspolit;50.510.275;;
Bildung;studium;48.056.215;;
Bildung;berufsausbild;42.770.275;;
Bildung;kunstl;34.060.275;;
Bildung;auszubild;25.740.275;;
Bildung;forschungsforder;23.580.275;;
Bildung;berufsbild;22.210.275;;
Bildung;bildungswes;20.080.275;;
Bildung;forschungseinricht;20.079.882;;
Bildung;jugendarbeitslos;19.859.053;;
Bildung;wissenschaftsrat;19.079.511;;
Bildung;grundlagenforsch;18.310.275;;
Bildung;ausbildungsforder;18.142.127;;
Bildung;forschungspolit;18.040.275;;
Bildung;forsch;17.590.505;;
Bildung;kultusminist;17.030.275;;
Bildung;studienplatz;16.170.275;;
Bildung;bildungssyst;16.130.275;;
Bildung;schulerinn;15.630.275;;
Bildung;lehrstell;15.490.275;;
Bildung;fachhochschul;14.760.275;;
Bildung;studiengebuhr;14.010.275;;
Bildung;hochschulpakt;13.890.275;;
Bildung;lehrling;13.884.448;;
Bildung;abitur;13.390.275;;
Bildung;bildungsbereich;13.160.275;;
Bildung;musik;13.089.209;;
Bildung;freiwilligendien;11.858.107;;
Bildung;hochschulrahmengesetz;11.398.337;;
Bildung;ganztagsschul;11.274.594;;
Bildung;kultusministerkonferenz;10.895.477;;
Bildung;ausbildungsstatt;10.840.275;;
Bildung;berufsbildungsbericht;10.820.275;;
Bildung;berufsschul;10.570.015;;
Bildung;publizist;10.388.873;;
Bildung;goeth;10.190.275;;
Bildung;forschungsergebnis;10.110.275;;
Bildung;studiengang;10.040.275;;
Bildung;gesamtschul;9.860.275;;
Bildung;berufsbildungsgesetz;9.766.360;;
Bildung;abiturient;9.241.856;;
Bildung;bildungsplan;9.200.275;;
Bildung;wissenschaftlerinn;9.184.427;;
Bildung;schriftstell;9.100.275;;
Bildung;bmbf;8.880.275;;
Bildung;kooperationsverbot;8.770.275;;
Bildung;technologiepolit;8.740.275;;
Bildung;bildungschanc;8.698.695;;
Bildung;biotechnologi;8.582.692;;
Bildung;forschungsgemeinschaft;8.406.121;;
Bildung;nachwuchs;8.367.022;;
Bildung;bildungseinricht;8.220.367;;
Bildung;forschungsvorhab;8.153.081;;
Bildung;bildungssystem;8.080.275;;
Bildung;zensur;8.080.275;;
Bildung;forschungsprogramm;8.054.698;;
Bildung;bundesausbildungsforderungsgesetz;8.028.777;;
Bildung;bildungsbericht;7.930.275;;
Bildung;forschungsprojekt;7.910.275;;
Bildung;hochschulbau;7.698.218;;
Bildung;lehrerinn;7.650.275;;
Bildung;grundschul;7.609.981;;
Bildung;freibetrag;7.595.935;;
Bildung;bedarfssatz;7.270.275;;
Bildung;hochschullehr;7.226.774;;
Bildung;auslandsschul;7.210.275;;
Bildung;exzellenzinitiativ;7.180.275;;
Bildung;absolvent;7.163.331;;
Bildung;akadem;7.153.123;;
Bildung;hightech;7.130.275;;
Bildung;jugendarbeitsschutzgesetz;7.020.275;;
Bildung;begab;6.970.275;;
Bildung;hochschulbereich;6.945.804;;
Bildung;schulwes;6.941.814;;
Bildung;kulturarbeit;6.890.275;;
Bildung;forschungsminist;6.850.653;;
Bildung;ausbildungsberuf;6.810.275;;
Bildung;hauptschul;6.470.275;;
Bildung;bildungsweg;6.410.275;;
Bildung;bildungsgesamtplan;6.410.250;;
Bildung;weiterbild;6.396.064;;
